longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.12724,51.50649,1,1,7,9,30,,9.0,1.0,2,2.0,1,2,Afternoon,1.0,1,0,4,1
-0.17929,51.46605,1,1,4,6,20,13.0,4.0,4.0,8,2.0,1,2,Evening,1.0,1,0,4,1
-0.07441,52.56161,2,1,5,6,30,16.0,4.0,1.0,1,1.0,2,6,Afternoon,0.5,1,0,4,1
-0.5104,50.81763,2,3,6,6,30,18.0,4.0,4.0,1,1.0,1,5,Evening,1.5,1,0,3,1
-1.3653,52.60562,2,1,7,6,50,18.0,4.0,1.0,1,2.0,2,2,Afternoon,0.5,1,0,4,1
0.29941,51.4775,1,1,6,6,30,0.0,,1.0,1,1.0,1,8,Morning,1.0,1,0,4,1
-1.06068,52.66716,2,2,6,6,60,0.0,,1.0,1,1.0,2,6,Evening,1.0,0,1,1,0
0.28734,51.77467,1,1,2,6,60,0.0,,1.0,1,1.0,2,5,Afternoon,1.0,1,0,3,1
-1.14916,50.8024,1,1,7,6,30,13.0,4.0,4.0,1,1.0,1,2,Night,1.0,1,0,1,1
-0.37361,53.72845,2,1,2,7,60,,4.0,1.0,1,1.0,1,5,Evening,0.5,1,0,4,4
-2.65536,53.51957,2,1,7,6,30,16.0,4.0,1.0,1,1.0,1,5,Morning,0.5,1,0,1,1
-0.4449,52.78986,1,1,4,6,60,0.0,,1.0,1,1.0,2,3,Afternoon,1.0,0,0,4,0
-0.0561,51.55907,2,1,3,9,20,,2.0,7.0,9,9.0,1,11,Afternoon,0.5,1,0,4,1
-2.23524,51.86568,2,3,2,6,30,13.0,4.0,1.0,1,1.0,1,7,Afternoon,1.5,1,0,1,1
-2.11827,51.46075,2,1,6,6,30,13.0,2.0,1.0,1,1.0,1,12,Morning,0.5,1,0,2,2
-1.45372,53.7288,3,2,7,3,70,0.0,,1.0,1,1.0,2,9,Morning,0.6666666666666666,1,0,6,6
-0.12726,52.33662,2,1,4,6,40,0.0,,6.0,1,1.0,2,2,Evening,0.5,1,0,4,1
0.1538,51.5444,2,1,6,9,30,16.0,4.0,1.0,1,1.0,1,5,Morning,0.5,1,0,1,1
-0.17598,51.64964,1,1,2,6,30,0.0,,4.0,1,1.0,1,12,Afternoon,1.0,0,0,4,0
-2.20343,52.99289,3,1,1,6,30,0.0,,4.0,8,2.0,1,12,Afternoon,0.3333333333333333,1,0,1,1
-2.44657,53.75706,1,1,2,3,40,0.0,,1.0,1,2.0,1,3,Morning,1.0,1,0,4,1
